stadium,team,location
Allianz Field,Minnesota United FC,"Saint Paul, Minnesota"
America First Field,Real Salt Lake,"Sandy, Utah"
Audi Field,D.C. United,"Washington, D.C."
Bank of America Stadium,Charlotte FC,"Charlotte, North Carolina"
BC Place ‡,Vancouver Whitecaps FC,"Vancouver, British Columbia"
BMO Field,Toronto FC,"Toronto, Ontario"
BMO Stadium,Los Angeles FC,"Los Angeles, California"
Chase Stadium,Inter Miami CF,"Fort Lauderdale, Florida"
Children's Mercy Park,Sporting Kansas City,"Kansas City, Kansas"
CityPark,St. Louis City SC,"St. Louis, Missouri"
Dick's Sporting Goods Park,Colorado Rapids,"Commerce City, Colorado"
Dignity Health Sports Park,Los Angeles Galaxy,"Carson, California"
Gillette Stadium,New England Revolution,"Foxborough, Massachusetts"
Geodis Park,Nashville SC,"Nashville, Tennessee"
Inter&Co Stadium,Orlando City SC,"Orlando, Florida"
Lower.com Field,Columbus Crew,"Columbus, Ohio"
Lumen Field,Seattle Sounders FC,"Seattle, Washington"
Mercedes-Benz Stadium ‡,Atlanta United FC,"Atlanta, Georgia"
PayPal Park,San Jose Earthquakes,"San Jose, California"
Providence Park,Portland Timbers,"Portland, Oregon"
Q2 Stadium,Austin FC,"Austin, Texas"
Red Bull Arena,New York Red Bulls,"Harrison, New Jersey"
Saputo Stadium,CF Montréal,"Montreal, Quebec"
Shell Energy Stadium,Houston Dynamo FC,"Houston, Texas"
Soldier Field,Chicago Fire FC,"Chicago, Illinois"
Subaru Park,Philadelphia Union,"Chester, Pennsylvania"
Toyota Stadium,FC Dallas,"Frisco, Texas"
TQL Stadium,FC Cincinnati,"Cincinnati, Ohio"
Yankee Stadium,New York City FC,"Bronx, New York"
